URL,Size,Threads,Real,User,System
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,20.64,0.66,5.43
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,32.29,0.41,6.91
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,20.60,0.54,6.28
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,29.11,0.49,5.98
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,20.97,0.49,6.37
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,29.46,0.63,6.66
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,21.05,0.47,6.39
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,28.80,0.39,6.33
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,20.78,0.48,6.55
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1647477620,1,28.59,0.68,6.49
